"NAME","SEX","COUNT"
"A","M","6"
"A'ISHA","F","10"
"A'ISHAH","F","7"
"A-JAY","M","5"
"AA'ISHAH","F","4"
"AABAN","M","3"
"AADAM","M","72"
"AADARSH","M","4"
"AADI","M","6"
"AADIL","M","32"
"AADIT","M","5"
"AADITYA","M","10"
"AADYA","F","7"
"AAFIA","F","3"
"AAFIYA","F","3"
"AAHANA","F","4"
"AAHIL","M","9"
"AAILYAH","F","3"
"AAIMA","F","3"
"AAISHA","F","49"
"AAISHAH","F","14"
"AAKASH","M","4"
"AAKIFAH","F","7"
"AALAA","F","3"
"AALEIGHA","F","3"
"AALEYAH","F","5"
"AALIA","F","8"
"AALIAH","F","7"
"AALIMAH","F","3"
"AALISHA","F","3"
"AALIYA","F","24"
"AALIYAH","F","379"
"AALIYAH-MARIE","F","3"
"AALIYHA","F","4"
"AAMAN","M","3"
"AAMENA","F","7"
"AAMILAH","F","5"
"AAMINA","F","69"
"AAMINAH","F","82"
"AAMIR","M","21"
"AAMIRA","F","4"
"AAMIRAH","F","5"
"AAMNA","F","27"
"AAMNAH","F","4"
"AANIA","F","4"
"AANIYAH","F","3"
"AANYA","F","20"
"AAQIB","M","4"
"AAQIL","M","3"
"AARAN","M","20"
"AARAV","M","24"
"AAREN","M","3"
"AARIAN","M","5"
"AARIB","M","4"
"AARIF","M","4"
"AARIFAH","F","4"
"AARIYA","F","3"
"AARIYAN","M","6"
"AARIZ","M","17"
"AARNA","F","6"
"AARNAV","M","4"
"AARON","M","1509"
"AARON-JAMES","M","4"
"AARONDEEP","M","4"
"AARONVEER","M","4"
"AARRON","M","12"
"AARTI","F","5"
"AARUSH","M","22"
"AARUSHI","F","13"
"AARYA","F","5"
"AARYA","M","4"
"AARYAN","M","55"
"AASHA","F","3"
"AASHI","F","5"
"AASHIKA","F","3"
"AASHIR","M","9"
"AASHISH","M","3"
"AASHNA","F","3"
"AASHNI","F","3"
"AASIM","M","5"
"AASIYA","F","4"
"AASIYAH","F","10"
"AATIF","M","5"
"AATIKAH","F","5"
"AATIQA","F","3"
"AAVA","F","3"
"AAYA","F","4"
"AAYAAN","M","3"
"AAYAH","F","4"
"AAYAN","M","105"
"AAYAT","F","4"
"AAYLA","F","4"
"AAYUSH","M","12"
"AAYUSHI","F","4"
"ABAAN","M","4"
"ABAN","M","3"
"ABBAAS","M","3"
"ABBAS","M","34"
"ABBEY","F","87"
"ABBI","F","38"
"ABBI-MAE","F","3"
"ABBIE","F","655"
"ABBIE-JO","F","3"
"ABBIE-LEIGH","F","4"
"ABBIE-LOUISE","F","3"
"ABBIE-MAE","F","6"
"ABBIGAIL","F","27"
"ABBY","F","201"
"ABBYGAIL","F","6"
"ABD","M","7"
"ABDALLA","M","12"
"ABDALLAH","M","24"
"ABDALRAHMAN","M","4"
"ABDARAHMAN","M","3"
"ABDEL","M","7"
"ABDELKARIM","M","3"
"ABDERAHMANE","M","4"
"ABDERRAHMANE","M","4"
"ABDI","M","13"
"ABDIFATAH","M","7"
"ABDIKARIM","M","5"
"ABDILADIF","M","4"
"ABDILLAHI","M","5"
"ABDIMAJID","M","4"
"ABDIMAJIID","M","3"
"ABDIMALIK","M","8"
"ABDINASIR","M","5"
"ABDIQANI","M","3"
"ABDIRAHIM","M","5"
"ABDIRAHMAN","M","88"
"ABDIRIZAK","M","4"
"ABDISALAM","M","4"
"ABDISHAKUR","M","7"
"ABDOULIE","M","5"
"ABDU","M","3"
"ABDUL","M","298"
"ABDUL-AHAD","M","4"
"ABDUL-AZIZ","M","3"
"ABDUL-HAADI","M","3"
"ABDUL-HADI","M","3"
"ABDUL-RAHEEM","M","5"
"ABDUL-RAHMAN","M","11"
"ABDULA","M","3"
"ABDULAAHI","M","4"
"ABDULAH","M","4"
"ABDULAHAD","M","3"
"ABDULAHI","M","16"
"ABDULAZIZ","M","16"
"ABDULHADI","M","4"
"ABDULKADIR","M","10"
"ABDULKAREEM","M","4"
"ABDULKARIM","M","3"
"ABDULLA","M","11"
"ABDULLAAHI","M","3"
"ABDULLAH","M","316"
"ABDULLAHI","M","56"
"ABDULLATIF","M","3"
"ABDULMAJID","M","3"
"ABDULMALEK","M","3"
"ABDULMALIK","M","12"
"ABDULQADIR","M","8"
"ABDULRAHEEM","M","5"
"ABDULRAHIM","M","8"
"ABDULRAHMAN","M","45"
"ABDULSALAM","M","3"
"ABDULWAHAB","M","7"
"ABDUR","M","30"
"ABDUR-RAHEEM","M","7"
"ABDUR-RAHMAAN","M","5"
