NAME,SEX,COUNT
A,M,4
A-JAY,M,6
AABAN,M,5
AABID,M,4
AADAM,M,140
AADEN,M,7
AADHAV,M,4
AADHIDEV,M,3
AADHIRAN,M,3
AADHYA,F,30
AADI,M,5
AADIL,M,18
AADIT,M,3
AADITH,M,3
AADITYA,M,10
AADVIK,M,15
AADYA,F,23
AAFIA,F,7
AAFIYA,F,11
AAFIYAH,F,22
AAFREEN,F,3
AAGYA,F,3
AAHAAN,M,4
AAHAD,M,5
AAHAN,M,9
AAHANA,F,15
AAHID,M,4
AAHIL,M,107
AAILA,F,28
AAIMA,F,17
AAIRA,F,65
AAIRAH,F,56
AAISHA,F,22
AAISHAH,F,8
AAIZ,M,3
AAIZA,F,7
AAIZAH,F,6
AAKIFA,F,4
AAKIFAH,F,6
AALA,F,5
AALAA,F,3
AALAYAH,F,5
AALEYAH,F,15
AALIA,F,19
AALIMAH,F,6
AALIYA,F,25
AALIYAH,F,406
AALIYAH-GRACE,F,3
AALIYAH-MARIE,F,3
AALIYAH-MAY,F,3
AALIYAH-RAE,F,3
AALIYAH-ROSE,F,12
AALIYAN,M,13
AALYA,F,3
AAMAYA,F,4
AAMENA,F,3
AAMILAH,F,7
AAMINA,F,40
AAMINAH,F,91
AAMIR,M,19
AAMIRA,F,10
AAMIRAH,F,3
AAMNA,F,11
AAMNAH,F,3
AANAYA,F,4
AANIYAH,F,5
AANVI,F,12
AANYA,F,24
AAQIB,M,5
AAQIL,M,3
AARA,F,8
AARADHYA,F,12
AARAF,M,4
AARAN,M,15
AARAV,M,131
AAREZ,M,5
AARI,M,5
AARIA,F,33
AARIAH,F,7
AARIB,M,5
AARIC,M,3
AARIF,M,4
AARIKA,F,4
AARIN,M,12
AARIS,M,3
AARISH,M,13
AARIV,M,3
AARIYA,F,21
AARIYAH,F,8
AARIYAN,M,10
AARIZ,M,69
AARNA,F,14
AARNAV,M,7
AAROHI,F,9
AARON,M,543
AARON-JAMES,M,5
AARON-JUNIOR,M,7
AARUHI,F,3
AARUNYA,F,3
AARUSH,M,32
AARUSHI,F,6
AARVI,F,15
AARVIK,M,3
AARYA,F,55
AARYAN,M,68
AASHA,F,3
AASHI,F,4
AASHVI,F,8
AASIM,M,6
AASIYA,F,15
AASIYAH,F,43
AATHIRA,F,3
AATHIRAN,M,4
AATHMIKA,F,4
AATIF,M,3
AAVNI,F,3
AAVYA,F,14
AAYA,F,3
AAYAAN,M,3
AAYAH,F,31
AAYAN,M,80
AAYANA,F,4
AAYANSH,M,8
AAYAT,F,60
AAYDEN,M,4
AAYLA,F,4
AAYRA,F,6
AAYUSH,M,15
AAZEEN,F,6
AAZIL,M,3
ABAAN,M,8
ABAN,M,3
ABANOUB,M,5
ABBAS,M,47
ABBEY,F,15
ABBIE,F,63
ABBIE-ROSE,F,3
ABBIGAIL,F,6
ABBY,F,27
ABD,M,4
ABDALLA,M,4
ABDALLAH,M,18
ABDEL,M,4
ABDELRAHMAN,M,7
ABDIKARIM,M,4
ABDIMALIK,M,3
ABDINASIR,M,3
ABDIRAHIM,M,3
ABDIRAHMAN,M,32
ABDOU,M,4
ABDOULAYE,M,3
ABDOULIE,M,6
ABDUL,M,278
ABDUL-AHAD,M,11
ABDUL-HAADI,M,9
ABDUL-HADI,M,16
ABDUL-HAKEEM,M,7
ABDUL-KAREEM,M,4
ABDUL-MALIK,M,4
ABDUL-RAHEEM,M,8
ABDUL-RAHIM,M,4
ABDUL-RAHMAN,M,6
ABDUL-SAMI,M,3
ABDULAHAD,M,5
ABDULAHI,M,4
ABDULAZIZ,M,26
ABDULBASIT,M,3
ABDULHAADI,M,3
ABDULHADI,M,9
ABDULHAKEEM,M,3
ABDULHALIM,M,3
ABDULKAREEM,M,7
ABDULKARIM,M,3
ABDULLA,M,7
ABDULLAH,M,314
ABDULLAHI,M,28
ABDULMALIK,M,10
ABDULQADIR,M,5
ABDULRAHEEM,M,3
ABDULRAHMAN,M,42
ABDULWAHAB,M,4
ABDUR,M,29
ABDUR-RAHEEM,M,11
ABDUR-RAHMAN,M,17
ABDURAHMAN,M,11
ABDURRAHEEM,M,6
ABDURRAHMAAN,M,3
ABDURRAHMAN,M,31
ABE,M,9
ABEEHA,F,28
ABEER,F,7
ABEER,M,4
ABEERA,F,17
ABEL,M,235
ABELLA,F,7
ABENA,F,5
ABHAY,M,5
ABHINAV,M,7
ABI,F,5
ABID,M,12
ABIDA,F,6
ABIDAH,F,3
ABIEL,M,4
ABIGAEL,F,3
ABIGAIL,F,690
ABIGAIL-ROSE,F,5
ABIGAILE,F,4
ABIGALE,F,4
ABIGEL,F,3
ABIHA,F,20
ABINAYA,F,5
ABINISHA,F,3
ABIR,M,8
ABIRA,F,5
ABISHA,F,5
ABISHAN,M,3
ABISOLA,F,3
ABNER,M,7
ABOUBACAR,M,3
ABRAHAM,M,77
ABRAM,M,7
ABRAR,F,6
ABRAR,M,14
ABRIANNA,F,3
