"NAME","SEX","COUNT"
"AALIYAH","F","10"
"AARAV","M","4"
"AARON","M","281"
"ABBEY","F","22"
"ABBIE","F","97"
"ABBY","F","26"
"ABDUL","M","6"
"ABDULLAH","M","5"
"ABDULRAHMAN","M","3"
"ABEL","M","11"
"ABI","F","10"
"ABIGAEL","F","4"
"ABIGAIL","F","117"
"ADA","F","31"
"ADAM","M","449"
"ADAMAS","M","3"
"ADAS","M","6"
"ADDISON","F","13"
"ADELA","F","3"
"ADELE","F","7"
"ADELINA","F","9"
"ADELINE","F","6"
"ADEM","M","3"
"ADOMAS","M","7"
"ADRIAN","M","35"
"ADRIANA","F","18"
"ADRIANNA","F","3"
"ADRIJUS","M","6"
"AEDAN","M","3"
"AELA","F","6"
"AFFAN","M","3"
"AGATA","F","6"
"AGATHA","F","4"
"AHMAD","M","3"
"AHMED","M","16"
"AIBHE","F","6"
"AIBHILIN","F","3"
"AIBHIN","F","6"
"AIBHLIN","F","3"
"AIBHLINN","F","8"
"AIDA","F","8"
"AIDAN","M","154"
"AIDEEN","F","13"
"AIDEN","M","43"
"AIFRIC","F","5"
"AILBE","M","3"
"AILBHE","F","58"
"AILEEN","F","4"
"AILISH","F","9"
"AIMEE","F","47"
"AINE","F","105"
"AIRONAS","M","3"
"AISHA","F","14"
"AISHLING","F","6"
"AISLING","F","80"
"AISLINN","F","8"
"AJ","M","3"
"AJAY","M","8"
"ALAN","M","66"
"ALANA","F","31"
"ALANNA","F","37"
"ALANNAH","F","83"
"ALASTAIR","M","4"
"ALAYNA","F","6"
"ALBA","F","8"
"ALBERT","M","16"
"ALEC","M","6"
"ALEENA","F","4"
"ALEKSANDER","M","25"
"ALEKSANDR","M","4"
"ALEKSANDRA","F","15"
"ALESHA","F","15"
"ALESIA","F","5"
"ALESSANDRO","M","7"
"ALESSIA","F","10"
"ALEX","F","21"
"ALEX","M","361"
"ALEXA","F","22"
"ALEXANDER","M","169"
"ALEXANDRA","F","82"
"ALEXANDRE","M","5"
"ALEXANDRIA","F","6"
"ALEXANDRU","M","7"
"ALEXIA","F","7"
"ALEXIS","F","14"
"ALFIE","M","124"
"ALFRED","M","8"
"ALI","F","16"
"ALI","M","14"
"ALIA","F","4"
"ALICE","F","150"
"ALICIA","F","36"
"ALICJA","F","38"
"ALINA","F","15"
"ALISA","F","4"
"ALISHA","F","20"
"ALISON","F","39"
"ALISSA","F","5"
"ALIYA","F","5"
"ALIYAH","F","8"
"ALLIE","F","25"
"ALLISON","F","4"
"ALLY","F","15"
"ALMA","F","6"
"ALVARO","M","3"
"ALYSHA","F","4"
"ALYSSA","F","33"
"AMALIA","F","6"
"AMALIE","F","3"
"AMANDA","F","16"
"AMAYA","F","7"
"AMBER","F","108"
"AMEERA","F","4"
"AMEILA","F","3"
"AMELIA","F","400"
"AMELIA-ROSE","F","5"
"AMELIE","F","36"
"AMELIJA","F","6"
"AMIE","F","3"
"AMINA","F","6"
"AMIR","M","4"
"AMIRA","F","9"
"AMNA","F","3"
"AMY","F","185"
"ANA","F","15"
"ANABEL","F","6"
"ANABELLE","F","5"
"ANAIS","F","4"
"ANAS","M","7"
"ANASTASIA","F","17"
"ANASTASIJA","F","3"
"ANASTAZJA","F","6"
"ANAYA","F","8"
"ANDIE","F","3"
"ANDRE","M","3"
"ANDREA","F","16"
"ANDREEA","F","9"
"ANDREI","M","6"
"ANDRES","M","3"
"ANDREW","M","131"
"ANDY","M","12"
"ANGEL","F","11"
"ANGELA","F","6"
"ANGELINA","F","9"
"ANIELA","F","3"
"ANIKA","F","4"
"ANITA","F","4"
"ANN","F","17"
"ANNA","F","297"
"ANNABEL","F","17"
"ANNABELL","F","3"
"ANNABELLE","F","76"
"ANNALEE","F","4"
"ANNALISE","F","10"
"ANNE","F","10"
"ANNIE","F","78"
"ANTHONY","M","88"
"ANTON","M","6"
"ANTONI","M","55"
"ANTONIA","F","21"
"ANTONINA","F","13"
"ANTONIO","M","5"
"ANYA","F","7"
"AODAN","M","6"
"AODH","M","3"
"AODHAN","M","25"
"AOIBH","F","19"
"AOIBHE","F","56"
"AOIBHEANN","F","78"
"AOIBHIN","F","37"
"AOIBHINN","F","100"
"AOIFE","F","321"
"AOILEANN","F","9"
"APHRA","F","3"
"APRIL","F","32"
"ARABELLA","F","7"
"ARAN","M","14"
"ARCHIE","M","45"
"ARHAM","M","5"
"ARI","M","3"
"ARIA","F","56"
"ARIANA","F","37"
"ARIANNA","F","23"
"ARIELLA","F","4"
"ARIJUS","M","5"
"ARINA","F","3"
"ARISHA","F","5"
"ARIYA","F","5"
"ARJUN","M","4"
"ARLO","M","15"
"ARMANDAS","M","3"
"ARMANI","M","3"
"ARNAS","M","3"
"ARNOLDAS","M","3"
"ARON","M","12"
