"NAME","SEX","COUNT"
"Aaliyah","F","10"
"Aaron","M","147"
"Abbey","F","3"
"Abbi","F","9"
"Abbie","F","74"
"Abby","F","17"
"Abi","F","22"
"Abigail","F","76"
"Adam","M","241"
"Adele","F","3"
"Adrian","M","3"
"Aedan","M","3"
"Aidan","M","47"
"Aideen","F","10"
"Aiden","M","5"
"Aileen","F","3"
"Ailish","F","4"
"Aimee","F","146"
"Aine","F","44"
"Aisha","F","3"
"Aisling","F","18"
"Aislinn","F","8"
"Alan","M","3"
"Alana","F","16"
"Alanna","F","13"
"Alannah","F","12"
"Aleesha","F","6"
"Alex","F","27"
"Alex","M","42"
"Alexander","M","56"
"Alexandra","F","29"
"Alexandria","F","6"
"Alfie","M","14"
"Alice","F","24"
"Alicia","F","37"
"Alisha","F","20"
"Alison","F","3"
"Alix","F","3"
"Allister","M","3"
"Ally","F","3"
"Alyssa","F","7"
"Amanda","F","3"
"Amber","F","29"
"Amelia","F","23"
"Amie","F","4"
"Amiee","F","4"
"Amy","F","181"
"Amy-Leigh","F","3"
"Ana","F","4"
"Anastacia","F","3"
"Andre","M","3"
"Andrea","F","9"
"Andrew","M","88"
"Angel","F","5"
"Angus","M","7"
"Anita","F","3"
"Ann","F","3"
"Anna","F","165"
"Anna-Marie","F","3"
"Annabel","F","4"
"Annabelle","F","7"
"Annalise","F","3"
"Anne","F","3"
"Annie","F","22"
"Anthony","M","25"
"Antoin","M","3"
"Anton","M","9"
"Anya","F","3"
"Aodhan","M","16"
"Aoibh","F","8"
"Aoibhe","F","6"
"Aoibheann","F","13"
"Aoibhin","F","12"
"Aoibhinn","F","14"
"Aoife","F","156"
"Archie","M","8"
"Arthur","M","3"
"Asha","F","3"
"Ashleigh","F","14"
"Ashley","F","5"
"Ashley","M","3"
"Ashton","M","7"
"Autumn","F","4"
"Ava","F","30"
"Bailey","M","30"
"Bailie","M","3"
"Barry","M","10"
"Becky","F","6"
"Ben","M","182"
"Benedict","M","5"
"Benjamin","M","90"
"Bernard","M","4"
"Beth","F","39"
"Bethan","F","3"
"Bethany","F","43"
"Billie","F","5"
"Billy","M","9"
"Blaine","M","3"
"Blaithin","F","8"
"Blathnaid","F","7"
"Bobbi","F","4"
"Bobby","M","14"
"Bonnie","F","4"
"Brad","M","3"
"Bradley","M","43"
"Brady","M","4"
"Brandan","M","3"
"Brandon","M","33"
"Breanna","F","4"
"Brendan","M","18"
"Brenna","F","3"
"Brian","M","24"
"Brianna","F","10"
"Brodie","M","10"
"Brody","M","3"
"Brogan","F","4"
"Brogan","M","6"
"Bronagh","F","17"
"Bronwyn","F","3"
"Brooke","F","35"
"Brooklyn","M","8"
"Bryan","M","4"
"Bryce","M","3"
"Cadhla","F","4"
"Caelan","M","3"
"Cahal","M","4"
"Cahir","M","9"
"Caiden","M","4"
"Cain","M","6"
"Caitilin","F","3"
"Caitlin","F","156"
"Caitlyn","F","14"
"Caitriona","F","3"
"Cal","M","4"
"Caleb","M","22"
"Callan","M","3"
"Callum","M","130"
"Calum","M","63"
"Calvin","M","10"
"Cameron","M","63"
"Campbell","M","3"
"Caoimhe","F","70"
"Caoimhin","M","19"
"Caolan","M","58"
"Caomhan","M","7"
"Cara","F","96"
"Caragh","F","13"
"Carl","M","12"
"Carla","F","10"
"Carly","F","13"
"Caroline","F","6"
"Carrie","F","5"
"Carson","M","12"
"Carter","M","20"
"Carys","F","3"
"Casey","F","19"
"Casey","M","4"
"Cassidy","F","3"
"Cassie","F","13"
"Cathair","M","8"
"Cathal","M","20"
"Cathan","M","5"
"Cathaoir","M","4"
"Catherine","F","36"
"Cayla","F","3"
"Cerys","F","10"
"Chantelle","F","20"
"Charis","F","6"
"Charlee","F","5"
"Charles","M","28"
"Charley","F","9"
"Charley","M","3"
"Charlie","F","10"
"Charlie","M","90"
"Charlotte","F","72"
"Che","M","6"
"Chelsea","F","12"
"Chelsey","F","6"
"Chelsie","F","3"
