"NAME","SEX","COUNT"
"AARON","M","22"
"AARON-HOWARD","M","1"
"AASHA","F","1"
"AASIYA","F","1"
"ABBI","F","1"
"ABBIE","F","1"
"ABBY","F","3"
"ABDAH","F","1"
"ABDULRAHEEM","M","1"
"ABHAY","M","1"
"ABIE","M","1"
"ABIGAIL","F","11"
"ABIGALE","F","1"
"ABUDUL","M","1"
"ADAM","M","63"
"ADAMO","M","1"
"ADDIE","F","1"
"ADEL","F","1"
"ADELE","F","39"
"ADELINE","F","2"
"ADELLE","F","2"
"ADEN","M","1"
"ADETOKUNBO","F","1"
"ADHAMH","M","1"
"ADINA","F","1"
"ADINON","M","1"
"ADLIN","F","1"
"ADRIAN","F","1"
"ADRIAN","M","37"
"ADRIANE","F","1"
"ADRIANO","M","1"
"ADRIENNE","F","4"
"ADRYAN","M","1"
"AFSHEEN","F","1"
"AFTAB","M","1"
"AFTON","F","1"
"AFZAL","M","1"
"AGATA","F","1"
"AGNES","F","33"
"AHISAT","F","1"
"AHMAD","M","3"
"AHMED","M","2"
"AIDAN","M","6"
"AILEEN","F","87"
"AILIE","F","3"
"AILITH","F","1"
"AILSA","F","32"
"AIMEE","F","2"
"AIMON","M","1"
"AINSLEY","F","4"
"AINSLIE","F","3"
"AISLING","F","1"
"AITKEN","M","1"
"AJAY","M","1"
"AKASS","M","1"
"AKUA","F","1"
"ALA","F","1"
"ALAISTAIR","M","2"
"ALAISTER","M","1"
"ALAN","M","715"
"ALANA","F","12"
"ALANA-JAYNE","F","1"
"ALANNA","F","3"
"ALASDAIR","M","85"
"ALASDHAIR","M","1"
"ALASTAIR","M","102"
"ALAYNA","F","1"
"ALBERT","M","6"
"ALBERTO","M","1"
"ALEC","M","2"
"ALED","M","1"
"ALENA","F","1"
"ALENE","F","1"
"ALESHA","F","1"
"ALESSIA","F","1"
"ALETHEA","F","1"
"ALETIA","F","1"
"ALEX","M","9"
"ALEXA","F","1"
"ALEXANDER","M","370"
"ALEXANDRA","F","42"
"ALEXANDRA","M","1"
"ALEXANDREA","F","2"
"ALEXANDRIA","F","8"
"ALEXANDRINA","F","1"
"ALEXINA","F","1"
"ALEXINE","F","1"
"ALEXIS","F","16"
"ALEXIS","M","1"
"ALEXS","M","1"
"ALEXZANDER","M","1"
"ALFRED","M","5"
"ALI","M","1"
"ALIA","F","1"
"ALICE","F","24"
"ALICIA","F","2"
"ALICK","M","2"
"ALIEU","M","1"
"ALINA","F","2"
"ALINDA","F","1"
"ALINE","F","4"
"ALISDAIR","M","16"
"ALISON","F","424"
"ALISON-LINDSAY","F","1"
"ALISSA","F","1"
"ALISTAIR","M","139"
"ALISTER","M","11"
"ALIX","F","1"
"ALLAN","M","259"
"ALLANA","F","6"
"ALLEEN","F","1"
"ALLEN","M","7"
"ALLENA","F","1"
"ALLISON","F","73"
"ALLISTER","M","3"
"ALLY","F","1"
"ALLYN","M","1"
"ALLYSON","F","5"
"ALMAS","F","1"
"ALOK","M","1"
"ALUN","M","6"
"ALVIN","M","1"
"ALWYN","F","1"
"ALY","M","1"
"ALYA","F","1"
"ALYN","M","1"
"ALYSON","F","14"
"AMAL","F","1"
"AMALIA","F","1"
"AMANDA","F","457"
"AMANDA-JANE","F","1"
"AMAR","M","1"
"AMARYLLIS","F","1"
"AMBER","F","8"
"AMBRINA","F","1"
"AMELIA","F","4"
"AMER","M","1"
"AMERJIT","F","1"
"AMIE","F","1"
"AMIT","M","1"
"AMJED","M","1"
"AMMAR","M","1"
"AMMARA","F","1"
"AMNA","F","1"
"AMNAR","M","1"
"AMURWON","F","1"
"AMY","F","18"
"ANA","F","1"
"ANAMARI","F","1"
"ANDRE","M","2"
"ANDREA","F","149"
"ANDREA","M","2"
"ANDREANA","F","1"
