"NAME","SEX","COUNT"
"AADAM","M","6"
"AADIL","M","14"
"AAILIYAH","F","5"
"AAILYAH","F","6"
"AAISHA","F","9"
"AAKASH","M","33"
"AALEYAH","F","8"
"AALIA","F","5"
"AALIAH","F","12"
"AALIAYAH","F","8"
"AALIJAH","F","5"
"AALIYA","F","19"
"AALIYAH","F","1255"
"AALIYHA","F","14"
"AALLIYAH","F","6"
"AALYAH","F","13"
"AALYIAH","F","14"
"AAMINAH","F","8"
"AAMIR","M","27"
"AANAND","M","5"
"AANCHAL","F","8"
"AANISAH","F","6"
"AARAN","M","6"
"AAREN","F","11"
"AAREN","M","23"
"AARIANA","F","5"
"AARIC","M","10"
"AARIKA","F","21"
"AARIN","F","11"
"AARIN","M","12"
"AARION","F","8"
"AARION","M","14"
"AARIONA","F","7"
"AARON","F","85"
"AARON","M","13289"
"AARONJAMES","M","8"
"AARONMICHAEL","M","6"
"AARONN","M","5"
"AARRON","M","39"
"AARTI","F","9"
"AARYN","F","34"
"AARYN","M","18"
"AASHNA","F","8"
"AASIA","F","8"
"AASIN","M","5"
"AASIYAH","F","5"
"AB","M","6"
"ABAGAEL","F","14"
"ABAGAIL","F","154"
"ABAGAILE","F","5"
"ABAGALE","F","8"
"ABAGAYLE","F","8"
"ABAIGEAL","F","13"
"ABANOUB","M","5"
"ABAYOMI","M","7"
"ABBAGAIL","F","26"
"ABBAGAYLE","F","6"
"ABBAS","M","22"
"ABBE","F","10"
"ABBEE","F","6"
"ABBEGAIL","F","5"
"ABBEY","F","549"
"ABBI","F","55"
"ABBIE","F","351"
"ABBIGAEL","F","7"
"ABBIGAIL","F","232"
"ABBIGAL","F","5"
"ABBIGALE","F","35"
"ABBIGAYLE","F","33"
"ABBY","F","1378"
"ABBY","M","5"
"ABBYE","F","14"
"ABBYGAIL","F","38"
"ABBYGALE","F","19"
"ABBYGAYLE","F","9"
"ABDALLA","M","6"
"ABDALLAH","M","29"
"ABDEL","M","8"
"ABDELRAHMAN","M","14"
"ABDIAS","M","6"
"ABDIEL","M","28"
"ABDIRAHMAN","M","11"
"ABDON","M","11"
"ABDOUL","M","6"
"ABDOULAYE","M","10"
"ABDUL","M","126"
"ABDULAH","M","9"
"ABDULAZIZ","M","27"
"ABDULKAREEM","M","10"
"ABDULLA","M","13"
"ABDULLAH","M","97"
"ABDULLAHI","M","7"
"ABDULMALIK","M","16"
"ABDULRAHMAN","M","36"
"ABDUR","M","9"
"ABDURRAHMAN","M","16"
"ABE","M","20"
"ABED","M","13"
"ABEER","F","16"
"ABEGAIL","F","17"
"ABEL","M","717"
"ABELARDO","M","77"
"ABELINA","F","5"
"ABELINO","M","6"
"ABENA","F","7"
"ABENI","F","5"
"ABGAIL","F","5"
"ABHINAV","M","16"
"ABHISHEK","M","26"
"ABI","F","7"
"ABIEL","M","13"
"ABIGAEL","F","49"
"ABIGAHIL","F","6"
"ABIGAIL","F","7822"
"ABIGAIL","M","12"
"ABIGAILE","F","14"
"ABIGAL","F","28"
"ABIGALE","F","141"
"ABIGAYIL","F","5"
"ABIGAYL","F","9"
"ABIGAYLE","F","133"
"ABIJAH","M","5"
"ABILENE","F","13"
"ABIMAEL","M","24"
"ABIMBOLA","F","8"
"ABIR","F","6"
"ABIR","M","6"
"ABISAI","M","21"
"ABISHAI","M","5"
"ABISOLA","F","6"
"ABLE","M","10"
"ABNER","M","86"
"ABOUBACAR","M","5"
"ABRA","F","9"
"ABRAHAM","M","1287"
"ABRAHAN","M","23"
"ABRAHIM","M","15"
"ABRAHM","M","11"
"ABRAM","M","161"
"ABRAN","M","39"
"ABRAR","F","9"
"ABRAR","M","8"
"ABREA","F","9"
"ABREANA","F","8"
"ABREANNA","F","11"
"ABREE","F","12"
"ABREONA","F","6"
"ABRHAM","M","9"
"ABRIA","F","37"
"ABRIAN","M","10"
"ABRIANA","F","97"
"ABRIANNA","F","84"
"ABRIEL","F","21"
"ABRIELLE","F","34"
"ABRIGAIL","F","5"
"ABRIL","F","61"
"ABRINA","F","7"
"ABSALOM","M","6"
"ABU","M","7"
"ABY","F","6"
"ABYGAIL","F","37"
"AC","M","6"
"ACACIA","F","106"
"ACADIA","F","11"
"ACE","M","33"
"ACHAIA","F","5"
"ACHANTE","F","7"
"ACHILLES","M","5"
"ACIE","M","7"
"ACURA","F","8"
"ADA","F","146"
"ADAEZE","F","8"
"ADAH","F","7"
"ADAHLI","F","12"
"ADAIJAH","F","8"
"ADAIR","F","27"
"ADAIR","M","15"
"ADAISHA","F","10"
"ADALBERTO","M","106"
"ADALEE","F","9"
"ADALHI","F","5"
"ADALIA","F","17"
"ADALID","M","7"
"ADALIDA","F","5"
"ADALINA","F","11"
"ADALINE","F","11"
"ADALIS","F","7"
"ADALIZ","F","7"
"ADALY","F","8"
"ADALYN","F","11"
"ADAM","F","13"
"ADAM","M","10483"
"ADAMA","F","10"
"ADAMS","M","14"
"ADAN","F","5"
"ADAN","M","404"
"ADANNA","F","13"
"ADANTE","M","10"
"ADARA","F","43"
"ADARIAN","M","6"
"ADARIUS","M","51"
"ADARRIUS","M","5"
"ADARSH","M","8"
"ADASHA","F","5"
"ADASIA","F","16"
"ADAYA","F","5"
"ADDAM","M","20"
"ADDELINE","F","5"
"ADDI","F","5"
"ADDIE","F","139"
"ADDIS","F","5"
"ADDISON","F","314"
"ADDISON","M","350"
"ADDISYN","F","5"
"ADDY","F","26"
"ADDYSON","F","14"
"ADE","M","6"
"ADEA","F","5"
"ADEANA","F","12"
"ADEBOLA","F","6"
"ADEEB","M","6"
"ADEEBA","F","5"
"ADEEL","M","8"
"ADEENA","F","6"
"ADEJA","F","15"
"ADEKUNLE","M","6"
"ADEL","F","6"
"ADEL","M","30"
"ADELA","F","97"
"ADELAIDA","F","20"
"ADELAIDE","F","62"
"ADELAIDO","M","5"
"ADELAINE","F","5"
"ADELBERT","M","5"
"ADELE","F","91"
"ADELENE","F","9"
"ADELIA","F","24"
"ADELINA","F","82"
"ADELINE","F","107"
"ADELITA","F","14"
"ADELLA","F","14"
"ADELLE","F","28"
"ADELYN","F","22"
"ADELYNN","F","5"
"ADEM","M","14"
"ADEMOLA","M","5"
"ADEN","F","11"
"ADEN","M","48"
"ADENA","F","34"
"ADEOLA","F","10"
"ADESSA","F","12"
"ADEWALE","M","12"
"ADEYEMI","M","6"
"ADHAM","M","10"
"ADI","F","15"
"ADI","M","7"
"ADIA","F","35"
"ADIAN","M","9"
"ADIANA","F","6"
"ADIB","M","6"
"ADIEL","M","22"
"ADIL","M","30"
"ADILENE","F","167"
"ADILENNE","F","7"
"ADILIA","F","5"
"ADILSON","M","5"
"ADIN","M","26"
"ADINA","F","129"
"ADIRA","F","7"
"ADISON","F","26"
"ADISON","M","8"
"ADIT","M","5"
"ADITI","F","26"
"ADITYA","M","57"
"ADJUA","F","5"
"ADLER","M","13"
"ADMIR","M","5"
"ADNAN","M","52"
"ADOLFO","M","260"
"ADOLPH","M","21"
"ADOLPHUS","M","16"
"ADOM","M","5"
"ADON","M","8"
"ADONAY","M","8"
"ADONES","M","5"
"ADONI","M","8"
"ADONIA","F","5"
"ADONICA","F","6"
"ADONIJAH","M","7"
"ADONIS","F","7"
"ADONIS","M","315"
"ADONIZ","M","5"
"ADONNIS","M","5"
"ADONTE","M","12"
"ADONUS","M","7"
"ADONYS","M","19"
"ADORA","F","28"
"ADRA","F","8"
"ADRAIN","M","56"
"ADRAN","M","6"
"ADREA","F","8"
"ADREAN","F","8"
"ADREAN","M","13"
"ADREANA","F","39"
"ADREANNA","F","45"
"ADREENA","F","8"
"ADREONNA","F","8"
"ADRIA","F","66"
"ADRIAN","F","229"
"ADRIAN","M","3910"
"ADRIANA","F","2066"
"ADRIANA","M","10"
"ADRIANE","F","59"
"ADRIANE","M","11"
"ADRIANN","F","14"
"ADRIANNA","F","985"
"ADRIANNAH","F","5"
"ADRIANNE","F","156"
"ADRIANNE","M","5"
"ADRIANNY","F","5"
"ADRIANO","M","33"
"ADRIAUNNA","F","7"
"ADRICK","M","5"
"ADRIEANA","F","5"
"ADRIEANNA","F","16"
"ADRIEL","F","12"
"ADRIEL","M","80"
"ADRIELLE","F","23"
"ADRIEN","F","26"
"ADRIEN","M","110"
"ADRIENE","F","22"
"ADRIENE","M","6"
"ADRIENNA","F","23"
"ADRIENNE","F","646"
"ADRIENNE","M","5"
"ADRIN","M","6"
"ADRINA","F","18"
"ADRION","M","8"
"ADRIONA","F","13"
"ADRIONNA","F","15"
"ADRON","M","9"
"ADRYAN","F","6"
"ADRYAN","M","17"
"ADRYANA","F","11"
"ADRYANNA","F","12"
"ADYSON","F","8"
"AEDAN","M","14"
"AEISHA","F","13"
"AEJA","F","5"
"AENEAS","M","7"
"AEON","M","6"
"AERIAL","F","82"
"AERIANA","F","6"
"AERIANNA","F","6"
"AERIC","M","8"
"AERICK","M","5"
"AERICKA","F","5"
"AERIEL","F","34"
"AERIELLE","F","15"
"AERIKA","F","12"
"AERIN","F","17"
"AERION","M","7"
"AERON","F","5"
"AERON","M","15"
